recordCd,kr,en,jp,zhCn,zhTw
string,string,string,string,string,string
NO_TEXT,텍스트 없음,NO TEXT,テキストなし,无文字,無文字
AS_UI_settings_01,환경설정,Settings,環境設定,设置,偏好設定
AS_UI_settings_02,배경음,Bgm,背景音,背景音乐,背景音
AS_UI_settings_03,효과음,Sfx,効果音,SFX,音效
AS_UI_settings_04,서비스 이용약관,Terms of Service,サービス利用規約,服务条款,服務條款
AS_UI_settings_05,개인정보 정책,Privacy Policy,個人情報ポリシー,隐私政策,隱私權政策
AS_UI_settings_06,언어설정,Language settings,言語設定,语言设置,語言設定
AS_UI_settings_07,한국어,한국어,한국어,韩国人,한국어
AS_UI_settings_08,English,English,English,英语,English
AS_UI_settings_09,日本語,日本語,日本語,日本人,日本語
ERR_ALREADY_ACCOUNT_ERR,해당 계정은 이미 가입되었습니다.,This account is already registered.,そのアカウントはすでに登録済みです。,该帐户已被注册。,該帳戶已被註冊。
ERR_chrManage_popup_button_success_0,강화 성공!,Upgrade Success!,強化成功！,升级成功！,強化成功！
ERR_chrManage_popup_button_success_1,재료가 부족합니다...,Not enough essence...,材料が不足しています...,精华不够...,我們的原料快用完了...
ERR_equipments_popup_fullSlot,더 이상 재료를 추가할 수 없습니다!,Slot is Full!,もう素材を追加できません！,插槽已满！,不能再添加任何成分了！
ERR_equipments_popup_blockEnchantEquiped,착용 중인 아이템은 사용할 수 없습니다!,You can't use euipments that already equiped!,着用中のアイテムは使用できません！,已经装备的装备不能使用！,您穿戴的物品無法使用！
ERR_equipments_blockSellEquiped,착용 중인 아이템은 판매할 수 없습니다!,You can't sell euipments that already equiped!,着用中のアイテムは販売できません！,已经装备的装备是不能卖的！,正在穿戴的物品不能出售！
ERR_equipments_noSelection,장비를 먼저 선택해주세요!,Choose Equipment First!,機器を最初に選択してください！,首先选择装备！,請先選擇您的設備！
ERR_ERR_NONE_SESSION_LOGIN,로그인이 필요합니다.,Login is required.,ログインが必要です。,需要登录。,需要登入。
ERR_ingame_selectSession_shard,마석 파편이 부족합니다...,Not enough Gem Shard...,魔石の破片が不足しています...,宝石碎片不够...,魔石碎片不夠…
ERR_itemUse_success,아이템 사용 완료!,Item use Complete!,アイテム使用完了！,物品使用完毕！,使用過的物品！
