rowValue,value
ChaterTitle_1,"The Hare and the Tortoise"
ChaterTitle_2,"a Gold Ax and a Silver Ax"
ChaterTitle_3,"The Ants and Grasshopper"
ChaterTitle_4,"The Three Little Pigs"
ChaterTitle_5,"Pinocchio"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"Language"
Option,"Option"
Option_BGM,"BGM Sound"
Option_FXSound,"FX Sound"
Option_Vibration,"Vibration"
TouchNotice,"Touch machine plz meow!"
Option_On,"On"
Option_Off,"Off"
BookShelf,"Meow shelf"
RemoveAd,"Remove Ad"
MainThema,"Mew thema"
RestorePurchase,"Restrore purchase"
EndNotice,"Stage clear"
StageClear,"To next"
GameOver,"Game over"
TouchToCollect,"Collect count : {0}"
TouchToWrong,"Wrong count : {0}"
UseHint,"Use hint count : {0}"
