rowValue,value
ChaterTitle_1,"La Hormiga y el Saltamontes"
ChaterTitle_2,"La Liebre y la Tortuga"
ChaterTitle_3,"El Hacha de Oro y el Hacha de Plata"
ChaterTitle_4,"Los Tres Cerditos"
ChaterTitle_5,"Pinocho"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"Idioma"
Option,"Configuración"
Option_BGM,"Música de Fondo"
Option_FXSound,"Efectos de Sonido"
Option_Vibration,"Vibración"
TouchNotice,"¡Toca la máquina, miau!"
Option_On,"Encender"
Option_Off,"Apagar"
BookShelf,"Estantería de Gatos"
RemoveAd,"Eliminar Anuncios"
MainThema,"Tema de Gato"
RestorePurchase,"Restaurar Compra"
EndNotice,"Etapa Superada"
StageClear,"Siguiente"
GameOver,"Fin del Juego"
TouchToCollect,"Número de Respuestas Correctas: {0}"
TouchToWrong,"Número de Respuestas Incorrectas: {0}"
UseHint,"Número de Pistas Usadas: {0}"
HintGetAD,"¿Quieres una pista, miau?"
ChapterUnlockText,"Completa el capítulo {0}"
