rowValue,value
ChaterTitle_1,"Semut dan Belalang"
ChaterTitle_2,"Kelinci dan Kura-Kura"
ChaterTitle_3,"Kapak Emas dan Kapak Perak"
ChaterTitle_4,"Tiga Babi Kecil"
ChaterTitle_5,"Pinokio"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_vn,"Tiếng Việt"
Option_zhTw,"繁體中文"
Option_es,"Español"
Option_th,"ไทย"
Option_id,"Bahasa Indonesia"
Option_Language,"Bahasa"
Option,"Opsi"
Option_BGM,"Suara BGM"
Option_FXSound,"Suara FX"
Option_Vibration,"Getaran"
TouchNotice,"Sentuh mesin otomatis, meong!"
Option_On,"Hidup"
Option_Off,"Mati"
BookShelf,"Rak buku"
RemoveAd,"Hapus Iklan"
RemoveAdDesc,"Lewati semua iklan,<br>Tingkatkan batas sentuhan menjadi 10."
RemoveAdPurchased,"Sudah Beli, Meong!"
MainThema,"Tema"
RestorePurchase,"Pulihkan pembelian"
EndNotice,"Tahap selesai"
StageClear,"Selanjutnya"
GameOver,"Permainan selesai"
TouchToCollect,"Jumlah koleksi: {0}"
TouchToWrong,"Jumlah salah: {0}"
UseHint,"Jumlah penggunaan petunjuk: {0}"
HintGetAD,"Petunjuk, meong?"
ChapterUnlockText,"Selesaikan Bab {0}"
ChangeTheme,"Ubah"
NowTheme,"Tema saat ini"
SelectTheme,"Pilih"
Purchase,"Beli"
WatchAd,"Tonton Iklan"
LookBookContents,"Isi"
RetryStage,"Coba lagi"
GoBookShelf,"Ke Rak Buku"
PlusTouchCount,"Sentuh {0} kali"
HintProduct,"Petunjuk {0} tersedia"
Episode_1_1,"Pada musim gugur, ketika semua jenis buah-buahan membuahkan hasil,<br>semua semut bekerja keras mempersiapkan diri untuk musim dingin.<br>Tapi Grasshopper hanya sibuk tertawa dan makan semut seperti itu."
Episode_1_2,"Akhirnya musim dingin datang dan Grasshopper miskin, yang tidak siap untuk hidup hanya gemetar dengan dingin dan kelaparan."
Episode_1_3,"Tanpa makanan atau rumah, Grasshopper tiba di rumah semut mengikuti kehangatan dan bau yang hangat.<br>Ding-dong! Siapa ini?<br>Semut keluar dari rumah dan sangat terkejut."
Episode_1_4,"Semut menjadi kasihan oleh penampilan gemetar Grasshopper miskin.<br>Dan memutuskan untuk memberikan makanan yang mereka kumpulkan sebelumnya."
Episode_1_5,"Ya ampun!<br>Kucing raksasa bersembunyi di dalam rumah semut dan memakan semua makanan!<br>Apa yang harus kita lakukan sekarang?"
Episode_2_1,"Suatu hari, seekor Kelinci yang membosankan datang ke Kura - kura yang tinggal di sebuah kolam di hutan.<br>Dan menyarankan untuk menjalankan perlombaan."
Episode_2_2,"Pada berita bahwa Kelinci dan Kura-kura sedang menjalankan perlombaan, <br>semua teman hewan di hutan keluar untuk menonton.<br>Dan menyarankan untuk menjalankan perlombaan."
Episode_2_3,"Tapi apakah itu agak jelas?<br>Kelinci, yang memimpin perlombaan, berpikir bisa menang bahkan dengan tidur siang.<br>Tapi Kura-kura mulai mendahului kelinci yang sedang tidur siang."
Episode_2_4,"Jadi Kura-kura melewati garis finish.<br>Tapi..huh?<br>Kita semua tahu pasti Hare sedang tidur siang.<br>Jadi bagaimana situasi ini bisa terjadi?"
Episode_2_5,"Bahkan,Pemenangnya adalah seekor Kucing berpura-pura menjadi seekor Kelinci!<br>Kelinci yang sebenarnya baru saja tiba terburu-buru!<br>Jadi .. siapa yang memenangkan pertandingan?"
Episode_3_1,"Pada hari yang cerah, seorang penebang kayu yang tulus pergi ke hutan lebat untuk bekerja."
Episode_3_2,"Oh tidak!<br>Apakah tangannya licin?<br>Si penebang kayu tak sengaja melepaskan kapak dan menjatuhkannya ke dalam danau hutan!"
Episode_3_3,"Aku tidak bisa bekerja tanpa kapakku!<br>Seorang Penjaga Gunung dengan kapak emas dan perak muncul di depan pemotong kayu ke danau dan bertanya.<br><br>Apa ini kapakmu atau kapakmu?"
Episode_3_4,"Kapakku bukan emas atau perak, Pak!<br>Tambang adalah kapak besi tua!<br>Penjaga bertanya kepada penebang kayu, jika keduanya tidak, tunggu sebentar.<br>Dan kemudian menghilang ke danau."
Episode_3_5,"Tapi tidak ada yang muncul tidak peduli berapa lama menunggu.<br>Penuh rasa ingin tahu, penebang kayu melihat ke bawah danau.<br>Penjaga gunung sebenarnya kucing serakah!<br>Betapa buruknya dia!"
Episode_4_1,""
Episode_4_2,""
Episode_4_3,""
Episode_4_4,""
Episode_4_5,""
Episode_5_1,""
Episode_5_2,""
Episode_5_3,""
Episode_5_4,""
Episode_5_5,""
