rowValue,value
ChaterTitle_1,"アリとキリギリス"
ChaterTitle_2,"うさぎとかめ"
ChaterTitle_3,"金の斧銀の斧"
ChaterTitle_4,"3びきのこぶた"
ChaterTitle_5,"ピノキオ"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"言語"
Option,"設定"
Option_BGM,"背景音"
Option_FXSound,"効果音"
Option_Vibration,"振動"
TouchNotice,"自販機をタッチにゃん！"
Option_On,"オン"
Option_Off,"オフ"
BookShelf,"ニャン棚"
RemoveAd,"広告削除"
MainThema,"ニャンテーマ"
RestorePurchase,"購買修復"
EndNotice,"ステージクリア"
StageClear,"次へ"
GameOver,"ゲームオーバー"
TouchToCollect,"正解回数 : {0}"
TouchToWrong,"間違った回数 : {0}"
UseHint,"ヒント使用回数 : {0}"
HintGetAD,"ヒント欲しいにゃん？"
ChapterUnlockText,"{0}章をクリア"
ChangeTheme,"変更"
NowTheme,"現在のテーマ"
SelectTheme,"選択"
Purchase,"購買"
WatchAd,"広告を見る"
LookBookContents,"詳細"
RetryStage,"リトライ"
GoBookShelf,"棚へ"
Episode_1_1,"アリとキリギリス１"
Episode_1_2,"アリとキリギリス２"
Episode_1_3,"アリとキリギリス３"
Episode_1_4,"アリとキリギリス４"
Episode_1_5,"アリとキリギリス５"
Episode_2_1,"うさぎとかめ１"
Episode_2_2,"うさぎとかめ２"
Episode_2_3,"うさぎとかめ３"
Episode_2_4,"うさぎとかめ４"
Episode_2_5,"うさぎとかめ５"
Episode_3_1,""
Episode_3_2,""
Episode_3_3,""
Episode_3_4,""
Episode_3_5,""
Episode_4_1,""
Episode_4_2,""
Episode_4_3,""
Episode_4_4,""
Episode_4_5,""
Episode_5_1,""
Episode_5_2,""
Episode_5_3,""
Episode_5_4,""
Episode_5_5,""
