rowValue,value
ChaterTitle_1,"토끼와 거북이"
ChaterTitle_2,"금도끼 은도끼"
ChaterTitle_3,"개미와 베짱이"
ChaterTitle_4,"아기 돼지 삼형제"
ChaterTitle_5,"피노키오"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"언어"
Option,"설정"
Option_BGM,"배경음"
Option_FXSound,"효과음"
Option_Vibration,"진동"
TouchNotice,"자판기를 터치해라 냥!"
Option_On,"켜기"
Option_Off,"끄기"
BookShelf,"냥책장"
RemoveAd,"광고제거"
MainThema,"냥테마"
RestorePurchase,"구매 복원"
EndNotice,"스테이지 클리어"
StageClear,"다음으로"
GameOver,"게임 오버"
TouchToCollect,"정답 횟수 : {0}"
TouchToWrong,"틀린 횟수 : {0}"
UseHint,"힌트 사용 횟수 : {0}"
