rowValue,value
ChaterTitle_1,"Kiến và Châu Chấu"
ChaterTitle_2,"Thỏ và Rùa"
ChaterTitle_3,"Rìu Vàng và Rìu Bạc"
ChaterTitle_4,"Ba Chú Lợn Con"
ChaterTitle_5,"Pinocchio"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"Ngôn Ngữ"
Option,"Cài Đặt"
Option_BGM,"Âm Nền"
Option_FXSound,"Hiệu Ứng Âm Thanh"
Option_Vibration,"Rung"
TouchNotice,"Chạm máy, meo!"
Option_On,"Bật"
Option_Off,"Tắt"
BookShelf,"Kệ Sách Meo"
RemoveAd,"Xóa Quảng Cáo"
MainThema,"Chủ Đề Meo"
RestorePurchase,"Khôi Phục Mua Hàng"
EndNotice,"Hoàn Thành Giai Đoạn"
StageClear,"Tiếp Theo"
GameOver,"Kết Thúc Trò Chơi"
TouchToCollect,"Số Lần Trả Lời Đúng: {0}"
TouchToWrong,"Số Lần Trả Lời Sai: {0}"
UseHint,"Số Lần Sử Dụng Gợi Ý: {0}"
HintGetAD,"Muốn gợi ý không, meo?"
ChapterUnlockText,"Hoàn thành chương {0}"
