rowValue,value
ChaterTitle_1,"螞蟻與蚱蜢"
ChaterTitle_2,"兔子與烏龜"
ChaterTitle_3,"金斧頭與銀斧頭"
ChaterTitle_4,"三隻小豬"
ChaterTitle_5,"皮諾丘"
Option_ko,"한국어"
Option_en,"English"
Option_ja,"日本語"
Option_Language,"語言"
Option,"設定"
Option_BGM,"背景音樂"
Option_FXSound,"音效"
Option_Vibration,"震動"
TouchNotice,"點擊自動販賣機，喵！"
Option_On,"開啟"
Option_Off,"關閉"
BookShelf,"喵書架"
RemoveAd,"移除廣告"
MainThema,"喵主題"
RestorePurchase,"恢復購買"
EndNotice,"關卡通過"
StageClear,"下一步"
GameOver,"遊戲結束"
TouchToCollect,"正確次數：{0}"
TouchToWrong,"錯誤次數：{0}"
UseHint,"提示使用次數：{0}"
HintGetAD,"要提示喵？"
ChapterUnlockText,"完成第{0}章！"
